algorithm,k,silhouette,calinski_harabasz,davies_bouldin,aic,bic
KMeans,2,0.6676676273345947,924.4580688476562,0.44861493831305704,,
HAC,2,0.6651825308799744,899.3605346679688,0.44903949369030827,,
GMM,2,0.6651825308799744,899.3605346679688,0.44903949369030827,3027.72119140625,3065.9161688166364
KMeans,3,0.5851354598999023,1019.4144897460938,0.5356687228172626,,
HAC,3,0.5704551935195923,935.8936767578125,0.6106806928361231,,
GMM,3,0.5587224364280701,899.408447265625,0.6268672588449568,2933.685791015625,2992.71439246804
KMeans,4,0.5198380947113037,1045.7164306640625,0.6781656575060081,,
HAC,4,0.48423638939857483,927.8001708984375,0.7227503915443342,,
GMM,4,0.4657175540924072,860.9202880859375,0.7411424873262158,2909.4794921875,2989.341717681944
KMeans,5,0.47986602783203125,1117.2437744140625,0.7418686967689718,,
HAC,5,0.46041804552078247,977.8253173828125,0.7356794587340846,,
GMM,5,0.42916396260261536,690.1220703125,0.7808475671672102,2905.0546875,3005.750537036473
KMeans,6,0.4937589168548584,1144.36328125,0.7058223546216716,,
HAC,6,0.46847817301750183,1065.5301513671875,0.705808059163462,,
GMM,6,0.4514693319797516,948.4964599609375,0.7303046103737852,2893.64697265625,3015.1764462347514
KMeans,7,0.4637633264064789,1132.6622314453125,0.7640821153613965,,
HAC,7,0.462787926197052,1031.6103515625,0.7493930127850311,,
GMM,7,0.4598831832408905,1072.0609130859375,0.7658357719724629,2888.3994140625,3030.7625116830304
KMeans,8,0.453048974275589,1143.928955078125,0.8042993966252303,,
HAC,8,0.4437951445579529,1038.3040771484375,0.7693362818648206,,
GMM,8,0.4367639124393463,1076.8172607421875,0.8321650352029304,2882.859619140625,3046.0563408031844
KMeans,9,0.4378010928630829,1134.49609375,0.8353615216878651,,
HAC,9,0.4072178304195404,1068.912109375,0.8721957986308495,,
GMM,9,0.4364830553531647,1023.3030395507812,0.7775319017259518,2886.92822265625,3070.9585683608384
KMeans,10,0.44385451078414917,1153.2489013671875,0.733516853856043,,
HAC,10,0.39228856563568115,1053.3343505859375,0.8956280440846811,,
GMM,10,0.42544299364089966,1081.045166015625,0.7995098147303102,2899.82275390625,3104.686723652867
