algorithm,k,silhouette,calinski_harabasz,davies_bouldin,aic,bic
KMeans,2,0.7006498575210571,1102.9296875,0.4146714048012734,,
HAC,2,0.7006498575210571,1102.9296875,0.4146714048012734,,
GMM,2,0.7006498575210571,1102.9296875,0.4146714048012734,2938.08935546875,2976.2843328791364
KMeans,3,0.596039354801178,1002.7601318359375,0.5155829066527424,,
HAC,3,0.595801830291748,996.11279296875,0.5237233525892772,,
GMM,3,0.5965286493301392,1000.0013427734375,0.5111845910371092,2866.91064453125,2925.939245983665
KMeans,4,0.5694883465766907,1413.423828125,0.5739970208263345,,
HAC,4,0.5725834965705872,1390.7755126953125,0.5550685395879882,,
GMM,4,0.573272168636322,1369.5572509765625,0.5439530182530884,2820.0673828125,2899.929608306944
KMeans,5,0.52694171667099,1383.741455078125,0.6671598337836784,,
HAC,5,0.5454815626144409,1356.6385498046875,0.625903964071933,,
GMM,5,0.5534753203392029,1372.617919921875,0.6206815846853573,2813.120361328125,2913.816210864598
KMeans,6,0.5128448009490967,1580.79638671875,0.6818817632594639,,
HAC,6,0.5006291270256042,1474.1153564453125,0.6797677680164984,,
GMM,6,0.49453824758529663,1296.1456298828125,0.657372590741682,2787.6484375,2909.1779110785014
KMeans,7,0.4980089068412781,1621.770263671875,0.6837543390444581,,
HAC,7,0.4898184835910797,1587.9051513671875,0.6797375581906786,,
GMM,7,0.4339718520641327,1099.223388671875,0.7800405770137265,2791.09912109375,2933.4622187142804
KMeans,8,0.5007484555244446,1681.2772216796875,0.6630751627820161,,
HAC,8,0.48346954584121704,1586.1673583984375,0.696506738110397,,
GMM,8,0.4842599928379059,1598.036865234375,0.6892481711013577,2769.520751953125,2932.7174736156844
KMeans,9,0.46096551418304443,1663.3079833984375,0.7068426066153869,,
HAC,9,0.45160239934921265,1560.389404296875,0.6913381220903563,,
GMM,9,0.45163047313690186,1594.15087890625,0.6968146666308983,2768.1142578125,2952.1446035170884
KMeans,10,0.45072141289711,1703.0098876953125,0.7277575067442026,,
HAC,10,0.43048402667045593,1573.5750732421875,0.7281169327730208,,
GMM,10,0.4324076175689697,1598.24755859375,0.7294283407876435,2765.7021484375,2970.566118184117
