algorithm,k,silhouette,calinski_harabasz,davies_bouldin,aic,bic
KMeans,2,0.5841249227523804,528.9971923828125,0.6354097808240651,,
HAC,2,0.5815299153327942,524.093994140625,0.638809847845046,,
GMM,2,0.5816795229911804,522.9337158203125,0.6360915578155885,3071.40771484375,3109.6026922541364
KMeans,3,0.5242006778717041,458.3916015625,0.6373491319809327,,
HAC,3,0.5006403923034668,443.080078125,0.6152545826002332,,
GMM,3,0.5203983187675476,446.20037841796875,0.6092531002319702,3009.416015625,3068.444617077415
KMeans,4,0.46621477603912354,476.4478454589844,0.820024463628058,,
HAC,4,0.4405255913734436,435.3114929199219,0.8521625587675081,,
GMM,4,0.47308164834976196,467.1727294921875,0.8626601202991808,2964.051513671875,3043.913739166319
KMeans,5,0.5040199756622314,581.0126953125,0.6355285823252625,,
HAC,5,0.4670007526874542,477.75439453125,0.6985942055625586,,
GMM,5,0.5042408108711243,553.7417602539062,0.6558958346248052,2923.09130859375,3023.787158130223
KMeans,6,0.46623140573501587,583.4370727539062,0.7154552068072492,,
HAC,6,0.4255214035511017,499.08673095703125,0.7441591802246273,,
GMM,6,0.49406111240386963,518.1734619140625,0.6753623015169552,2847.3115234375,2968.8409970160014
KMeans,7,0.4791082739830017,619.727294921875,0.6669272163771355,,
HAC,7,0.43386968970298767,513.3610229492188,0.6452334756012651,,
GMM,7,0.442245751619339,539.83349609375,0.7325386923926095,2834.40625,2976.7693476205304
KMeans,8,0.46752506494522095,618.7398071289062,0.6686458723655039,,
HAC,8,0.42921313643455505,543.994384765625,0.6933041373073359,,
GMM,8,0.3863621652126312,475.1772766113281,0.8346261645823082,2817.453369140625,2980.6500908031844
KMeans,9,0.4404009282588959,620.6271362304688,0.720697003110682,,
HAC,9,0.433177649974823,569.7518920898438,0.6834558530319763,,
GMM,9,0.3840707838535309,475.61151123046875,0.82275562720526,2819.62060546875,3003.6509511733384
KMeans,10,0.4278266429901123,622.4901123046875,0.7100986202404893,,
HAC,10,0.413454532623291,584.8863525390625,0.7293964472259364,,
GMM,10,0.3528537154197693,435.9784240722656,0.7909874097381444,2814.89453125,3019.758500996617
