algorithm,k,silhouette,calinski_harabasz,davies_bouldin,aic,bic
KMeans,2,0.5108529925346375,331.58551025390625,0.7818191976655005,,
HAC,2,0.477477490901947,267.82867431640625,0.8384730723503553,,
GMM,2,0.5098276138305664,326.678955078125,0.7812204153419802,3138.72119140625,3176.9161688166364
KMeans,3,0.47887447476387024,310.5219421386719,0.740904899025154,,
HAC,3,0.4794609546661377,293.0614929199219,0.7509660301073576,,
GMM,3,0.47572776675224304,305.0995788574219,0.7212360604859142,3010.11572265625,3069.144324108665
KMeans,4,0.490092396736145,368.49359130859375,0.6797410502122241,,
HAC,4,0.4888160228729248,363.4167175292969,0.6791523675747215,,
GMM,4,0.4693962633609772,341.24713134765625,0.7037824497999373,2903.701171875,2983.563397369444
KMeans,5,0.5141767263412476,456.6989440917969,0.6078460610029425,,
HAC,5,0.5025542378425598,425.6068115234375,0.6043301566527234,,
GMM,5,0.5077831745147705,442.2060546875,0.6181150992204825,2870.599609375,2971.295458911473
KMeans,6,0.5159949660301208,512.516357421875,0.5880496994405299,,
HAC,6,0.49954909086227417,485.9853820800781,0.5869472721563973,,
GMM,6,0.49652400612831116,474.11065673828125,0.5965834674446698,2847.5,2969.0294735785014
KMeans,7,0.5090883374214172,565.9468383789062,0.6210477586093164,,
HAC,7,0.47383156418800354,519.7078857421875,0.6473318809233379,,
GMM,7,0.46749186515808105,447.96405029296875,0.6877655686856449,2849.25537109375,2991.6184687142804
KMeans,8,0.5110541582107544,595.2591552734375,0.626311713249305,,
HAC,8,0.4920175075531006,547.0418090820312,0.6341677519063255,,
GMM,8,0.49917611479759216,550.7404174804688,0.6318472277023016,2814.99658203125,2978.1933036938094
KMeans,9,0.48839813470840454,627.434326171875,0.6707164999541831,,
HAC,9,0.4446065425872803,558.3919067382812,0.7105172764613512,,
GMM,9,0.4330809712409973,498.43048095703125,0.7467768983854747,2814.219970703125,2998.2503164077134
KMeans,10,0.49001774191856384,633.6383666992188,0.6647995609615741,,
HAC,10,0.4324997067451477,565.437744140625,0.7107720596999493,,
GMM,10,0.4413526654243469,514.8143920898438,0.7169281659654437,2814.863037109375,3019.727006855992
