algorithm,k,silhouette,calinski_harabasz,davies_bouldin,aic,bic
KMeans,2,0.6786983609199524,981.7977905273438,0.44611233727544675,,
HAC,2,0.6786983609199524,981.7977905273438,0.44611233727544675,,
GMM,2,0.6778835654258728,976.6425170898438,0.4480807766633037,2995.95751953125,3034.1524969416364
KMeans,3,0.5616082549095154,835.2315673828125,0.6057611920144534,,
HAC,3,0.5644702911376953,775.832763671875,0.6009178220295696,,
GMM,3,0.43430429697036743,564.1676635742188,0.8163379364872346,2903.36376953125,2962.392370983665
KMeans,4,0.497955322265625,1001.8499755859375,0.6969470845092149,,
HAC,4,0.46880000829696655,886.821044921875,0.6955410882633433,,
GMM,4,0.4777197241783142,874.3461303710938,0.6976082349521298,2872.146484375,2952.008709869444
KMeans,5,0.500893235206604,1094.1617431640625,0.6629940572830219,,
HAC,5,0.44951963424682617,859.2246704101562,0.8014157214699104,,
GMM,5,0.40874409675598145,702.8819580078125,0.8936428727826689,2865.66552734375,2966.361376880223
KMeans,6,0.46807384490966797,1094.9208984375,0.7277360462797108,,
HAC,6,0.4267685115337372,895.5913696289062,0.7701695188234604,,
GMM,6,0.44854736328125,985.9485473632812,0.7691014255045728,2840.05126953125,2961.5807431097514
KMeans,7,0.48099830746650696,1075.4356689453125,0.6888434263795704,,
HAC,7,0.448196679353714,924.3202514648438,0.7244020354653108,,
GMM,7,0.40532946586608887,922.6419677734375,0.86748446616941,2847.002197265625,2989.3652948861554
KMeans,8,0.4485044777393341,1092.8857421875,0.7401067225973356,,
HAC,8,0.43808868527412415,1016.3453369140625,0.7504076280813192,,
GMM,8,0.31406477093696594,659.15283203125,0.8213293914738098,2805.29443359375,2968.4911552563094
KMeans,9,0.44392260909080505,1136.6497802734375,0.7296405000368212,,
HAC,9,0.42768263816833496,1061.4947509765625,0.7148943047917499,,
GMM,9,0.31923630833625793,699.5713500976562,0.8240308048139097,2807.95361328125,2991.9839589858384
KMeans,10,0.44471773505210876,1177.1783447265625,0.7097536976634158,,
HAC,10,0.41360294818878174,1033.73046875,0.6845425895724182,,
GMM,10,0.34756943583488464,813.0270385742188,0.8123790345100641,2799.837646484375,3004.701616230992
