algorithm,k,silhouette,calinski_harabasz,davies_bouldin,aic,bic
KMeans,2,0.6793520450592041,771.1430053710938,0.42934673003825363,,
HAC,2,0.6793520450592041,771.1430053710938,0.42934673003825363,,
GMM,2,0.6793520450592041,771.1430053710938,0.42934673003825363,2912.81787109375,2951.0128485041364
KMeans,3,0.6180031895637512,1093.390380859375,0.550835249869448,,
HAC,3,0.5952049493789673,1011.537353515625,0.5666476944253197,,
GMM,3,0.5917477607727051,933.057861328125,0.5660448438272797,2827.60107421875,2886.629675671165
KMeans,4,0.5824149250984192,1050.9639892578125,0.602926753643522,,
HAC,4,0.5375080704689026,944.3643188476562,0.6635076856907731,,
GMM,4,0.5633603930473328,968.7587890625,0.6641219086571013,2795.458251953125,2875.320477447569
KMeans,5,0.5335038900375366,1232.72900390625,0.638748305221366,,
HAC,5,0.48093152046203613,1052.78857421875,0.6857902013569547,,
GMM,5,0.5093439221382141,1091.0908203125,0.6848205602830036,2764.96533203125,2865.661181567723
KMeans,6,0.506171703338623,1253.2685546875,0.6771992641410858,,
HAC,6,0.47289666533470154,1106.5345458984375,0.7216268384943052,,
GMM,6,0.4776665270328522,986.6914672851562,0.7097437751320482,2757.9677734375,2879.4972470160014
KMeans,7,0.5003459453582764,1321.8250732421875,0.7284094398442004,,
HAC,7,0.4797899127006531,1179.599365234375,0.6987271571285893,,
GMM,7,0.4066483974456787,886.3880004882812,0.7806406526822902,2727.072265625,2869.4353632455304
KMeans,8,0.5221862196922302,1353.681640625,0.6320629954131375,,
HAC,8,0.5032180547714233,1232.3568115234375,0.6352073302472583,,
GMM,8,0.45437294244766235,1086.35888671875,0.6759242572459095,2717.250244140625,2880.4469658031844
KMeans,9,0.4752400517463684,1394.2120361328125,0.7189063213324631,,
HAC,9,0.5073016881942749,1265.3134765625,0.6537582947810388,,
GMM,9,0.4639902710914612,1139.280517578125,0.7175877380118895,2720.947265625,2904.9776113295884
KMeans,10,0.4728882610797882,1416.331298828125,0.7287477208799101,,
HAC,10,0.44955015182495117,1275.685791015625,0.7643629571181572,,
GMM,10,0.41109439730644226,1166.5037841796875,0.8100643920371906,2723.71728515625,2928.581254902867
